source_url,outcome,reason,timestamp
https://www.energiemines.gov.tn/fileadmin/docs-u1/%D9%85%D8%A4%D8%B4%D8%B1%D8%A7%D8%AA_%D9%82%D8%B7%D8%A7%D8%B9_%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9_2024.pdf,downloaded,"sha256 0d569d7b43d4100c, 3686276 bytes -> archive/Memento/2024/v1/مؤشرات_قطاع_الطاقة_2024.pdf",2026-06-25T19:48:08Z
https://www.energiemines.gov.tn/fileadmin/docs-u1/%D9%88%D8%B6%D8%B9_%D9%82%D8%B7%D8%A7%D8%B9_%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9_%D8%A5%D9%84%D9%89_%D9%85%D9%88%D9%81%D9%89_%D8%A3%D9%81%D8%B1%D9%8A%D9%84_2025.pdf,downloaded,"sha256 a9023cec37ffa14f, 1129069 bytes -> archive/Conjoncture/2025-04/v1/وضع_قطاع_الطاقة_إلى_موفى_أفريل_2025.pdf",2026-06-25T19:48:10Z
https://www.energiemines.gov.tn/fileadmin/docs-u1/%D9%88%D8%B6%D8%B9_%D9%82%D8%B7%D8%A7%D8%B9_%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9_%D8%A5%D9%84%D9%89_%D9%85%D9%88%D9%81%D9%89_%D8%A3%D9%83%D8%AA%D9%88%D8%A8%D8%B1_2025.pdf,downloaded,"sha256 c2611a184d1fad85, 1066442 bytes -> archive/Conjoncture/2025-10/v1/وضع_قطاع_الطاقة_إلى_موفى_أكتوبر_2025.pdf",2026-06-25T19:48:11Z
https://www.energiemines.gov.tn/fileadmin/docs-u1/%D9%88%D8%B6%D8%B9_%D9%82%D8%B7%D8%A7%D8%B9_%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9_%D8%A5%D9%84%D9%89_%D9%85%D9%88%D9%81%D9%89_%D8%A3%D9%88%D8%AA_2025.pdf,downloaded,"sha256 cd37b5fe126a601b, 1105543 bytes -> archive/Conjoncture/2025-08/v1/وضع_قطاع_الطاقة_إلى_موفى_أوت_2025.pdf",2026-06-25T19:48:13Z
https://www.energiemines.gov.tn/fileadmin/docs-u1/%D9%88%D8%B6%D8%B9_%D9%82%D8%B7%D8%A7%D8%B9_%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9_%D8%A5%D9%84%D9%89_%D9%85%D9%88%D9%81%D9%89_%D8%AC%D9%88%D8%A7%D9%86_2025.pdf,downloaded,"sha256 8c523b335caca1e9, 1132010 bytes -> archive/Conjoncture/2025-06/v1/وضع_قطاع_الطاقة_إلى_موفى_جوان_2025.pdf",2026-06-25T19:48:14Z
https://www.energiemines.gov.tn/fileadmin/docs-u1/%D9%88%D8%B6%D8%B9_%D9%82%D8%B7%D8%A7%D8%B9_%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9_%D8%A5%D9%84%D9%89_%D9%85%D9%88%D9%81%D9%89_%D8%AC%D9%88%D9%8A%D9%84%D9%8A%D8%A9_2025.pdf,downloaded,"sha256 0764966ffa306b80, 3059727 bytes -> archive/Conjoncture/2025-07/v1/وضع_قطاع_الطاقة_إلى_موفى_جويلية_2025.pdf",2026-06-25T19:48:16Z
https://www.energiemines.gov.tn/fileadmin/docs-u1/%D9%88%D8%B6%D8%B9_%D9%82%D8%B7%D8%A7%D8%B9_%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9_%D8%A5%D9%84%D9%89_%D9%85%D9%88%D9%81%D9%89_%D8%AF%D9%8A%D8%B3%D9%85%D8%A8%D8%B1_2025.pdf,downloaded,"sha256 586ca995848c1371, 1178514 bytes -> archive/Conjoncture/2025-12/v1/وضع_قطاع_الطاقة_إلى_موفى_ديسمبر_2025.pdf",2026-06-25T19:48:17Z
https://www.energiemines.gov.tn/fileadmin/docs-u1/%D9%88%D8%B6%D8%B9_%D9%82%D8%B7%D8%A7%D8%B9_%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9_%D8%A5%D9%84%D9%89_%D9%85%D9%88%D9%81%D9%89_%D9%81%D9%8A%D9%81%D8%B1%D9%8A_2025.pdf,downloaded,"sha256 fcd092915f569b79, 2857801 bytes -> archive/Conjoncture/2025-02/v1/وضع_قطاع_الطاقة_إلى_موفى_فيفري_2025.pdf",2026-06-25T19:48:19Z
https://www.energiemines.gov.tn/fileadmin/docs-u1/%D9%88%D8%B6%D8%B9_%D9%82%D8%B7%D8%A7%D8%B9_%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9_%D8%A5%D9%84%D9%89_%D9%85%D9%88%D9%81%D9%89_%D9%85%D8%A7%D8%B1%D8%B3_2025.pdf,downloaded,"sha256 833f998732739d1a, 1025044 bytes -> archive/Conjoncture/2025-03/v1/وضع_قطاع_الطاقة_إلى_موفى_مارس_2025.pdf",2026-06-25T19:48:22Z
https://www.energiemines.gov.tn/fileadmin/docs-u1/%D9%88%D8%B6%D8%B9_%D9%82%D8%B7%D8%A7%D8%B9_%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9_%D8%A5%D9%84%D9%89_%D9%85%D9%88%D9%81%D9%89_%D9%85%D8%A7%D9%8A_2025.pdf,downloaded,"sha256 08c1e3581f70212d, 1124738 bytes -> archive/Conjoncture/2025-05/v1/وضع_قطاع_الطاقة_إلى_موفى_ماي_2025.pdf",2026-06-25T19:48:23Z
