series_id,display_name,aggregation_role,definition,unit,calorific_basis,basis_confidence,period_type,flow,product,sector,region,field,level,producer,technology,scope,geography_scope,redevance_toggle,is_total,n_obs,first_year,last_year,n_sources,families,templates,confidence,escalated
gas_purchase|flow.purchase|prod.natural_gas||||||PCI|ktep-pci|annual|||||,"Achats de gaz — [flow=purchase, product=natural_gas] basis PCI (ktep-pci) annual",leaf,"Achats de gaz. Achats de gaz — [flow=purchase, product=natural_gas] basis PCI (ktep-pci) annual. Source families: conjoncture; period_type=annual; years 2018–2025. Aggregation role: leaf.",ktep-pci,PCI,stated,annual,flow.purchase,prod.natural_gas,,,,,,,,,,False,77,2018,2025,77,conjoncture,conjoncture-tabular-v2024,normal,False
gas_purchase|flow.purchase|prod.natural_gas||||||PCI|ktep-pci|ytd_cumulative|||||,"Achats de gaz — [flow=purchase, product=natural_gas] basis PCI (ktep-pci) year-to-date",leaf,"Achats de gaz. Achats de gaz — [flow=purchase, product=natural_gas] basis PCI (ktep-pci) year-to-date. Source families: conjoncture; period_type=ytd_cumulative; years 2010–2026. Aggregation role: leaf.",ktep-pci,PCI,stated,ytd_cumulative,flow.purchase,prod.natural_gas,,,,,,,,,,False,231,2010,2026,77,conjoncture,conjoncture-tabular-v2024,normal,False
gas_purchase|flow.purchase|prod.natural_gas||||||PCS|ktep-pcs|annual|||||,"Achats de gaz — [flow=purchase, product=natural_gas] basis PCS (ktep-pcs) annual",leaf,"Achats de gaz. Achats de gaz — [flow=purchase, product=natural_gas] basis PCS (ktep-pcs) annual. Source families: conjoncture; period_type=annual; years 2018–2025. Aggregation role: leaf.",ktep-pcs,PCS,stated,annual,flow.purchase,prod.natural_gas,,,,,,,,,,False,77,2018,2025,77,conjoncture,conjoncture-tabular-v2024,normal,False
gas_purchase|flow.purchase|prod.natural_gas||||||PCS|ktep-pcs|ytd_cumulative|||||,"Achats de gaz — [flow=purchase, product=natural_gas] basis PCS (ktep-pcs) year-to-date",leaf,"Achats de gaz. Achats de gaz — [flow=purchase, product=natural_gas] basis PCS (ktep-pcs) year-to-date. Source families: conjoncture; period_type=ytd_cumulative; years 2010–2026. Aggregation role: leaf.",ktep-pcs,PCS,stated,ytd_cumulative,flow.purchase,prod.natural_gas,,,,,,,,,,False,231,2010,2026,77,conjoncture,conjoncture-tabular-v2024,normal,False
primary_balance|flow.demand|prod.natural_gas||||||PCI|ktep-pci|annual|||||,"Bilan d'énergie primaire — [flow=demand, product=natural_gas] basis PCI (ktep-pci) annual",leaf,"Bilan d'énergie primaire. Bilan d'énergie primaire — [flow=demand, product=natural_gas] basis PCI (ktep-pci) annual. Source families: conjoncture; period_type=annual; years 2018–2025. Aggregation role: leaf.",ktep-pci,PCI,stated,annual,flow.demand,prod.natural_gas,,,,,,,,,,False,77,2018,2025,77,conjoncture,conjoncture-tabular-v2024,normal,False
primary_balance|flow.demand|prod.natural_gas||||||PCI|ktep-pci|ytd_cumulative|||||,"Bilan d'énergie primaire — [flow=demand, product=natural_gas] basis PCI (ktep-pci) year-to-date",leaf,"Bilan d'énergie primaire. Bilan d'énergie primaire — [flow=demand, product=natural_gas] basis PCI (ktep-pci) year-to-date. Source families: conjoncture; period_type=ytd_cumulative; years 2010–2026. Aggregation role: leaf.",ktep-pci,PCI,stated,ytd_cumulative,flow.demand,prod.natural_gas,,,,,,,,,,False,231,2010,2026,77,conjoncture,conjoncture-tabular-v2024,normal,False
primary_balance|flow.demand|prod.petroleum_products_total||||||PCI|ktep-pci|annual|||||,"Bilan d'énergie primaire — [flow=demand, product=petroleum_products_total] basis PCI (ktep-pci) annual",leaf,"Bilan d'énergie primaire. Bilan d'énergie primaire — [flow=demand, product=petroleum_products_total] basis PCI (ktep-pci) annual. Source families: conjoncture; period_type=annual; years 2018–2025. Aggregation role: leaf.",ktep-pci,PCI,stated,annual,flow.demand,prod.petroleum_products_total,,,,,,,,,,False,77,2018,2025,77,conjoncture,conjoncture-tabular-v2024,normal,False
primary_balance|flow.demand|prod.petroleum_products_total||||||PCI|ktep-pci|ytd_cumulative|||||,"Bilan d'énergie primaire — [flow=demand, product=petroleum_products_total] basis PCI (ktep-pci) year-to-date",leaf,"Bilan d'énergie primaire. Bilan d'énergie primaire — [flow=demand, product=petroleum_products_total] basis PCI (ktep-pci) year-to-date. Source families: conjoncture; period_type=ytd_cumulative; years 2010–2026. Aggregation role: leaf.",ktep-pci,PCI,stated,ytd_cumulative,flow.demand,prod.petroleum_products_total,,,,,,,,,,False,231,2010,2026,77,conjoncture,conjoncture-tabular-v2024,normal,False
primary_balance|flow.demand|||||||PCI|ktep-pci|annual|||||,Bilan d'énergie primaire — [flow=demand] basis PCI (ktep-pci) annual,grand_total,Bilan d'énergie primaire. Bilan d'énergie primaire — [flow=demand] basis PCI (ktep-pci) annual. Source families: conjoncture; period_type=annual; years 2018–2025. Aggregation role: grand_total.,ktep-pci,PCI,stated,annual,flow.demand,,,,,,,,,,,True,77,2018,2025,77,conjoncture,conjoncture-tabular-v2024,normal,False
primary_balance|flow.demand|||||||PCI|ktep-pci|ytd_cumulative|||||,Bilan d'énergie primaire — [flow=demand] basis PCI (ktep-pci) year-to-date,grand_total,Bilan d'énergie primaire. Bilan d'énergie primaire — [flow=demand] basis PCI (ktep-pci) year-to-date. Source families: conjoncture; period_type=ytd_cumulative; years 2010–2026. Aggregation role: grand_total.,ktep-pci,PCI,stated,ytd_cumulative,flow.demand,,,,,,,,,,,True,231,2010,2026,77,conjoncture,conjoncture-tabular-v2024,normal,False
primary_balance|flow.primary_production|prod.crude_oil||||||PCI|ktep-pci|annual||incl_gpl_condensat|||,"Bilan d'énergie primaire — [flow=primary_production, product=crude_oil, scope=incl_gpl_condensat] basis PCI (ktep-pci) annual",leaf,"Bilan d'énergie primaire. Bilan d'énergie primaire — [flow=primary_production, product=crude_oil, scope=incl_gpl_condensat] basis PCI (ktep-pci) annual. Source families: conjoncture; period_type=annual; years 2018–2025. Aggregation role: leaf.",ktep-pci,PCI,stated,annual,flow.primary_production,prod.crude_oil,,,,,,,incl_gpl_condensat,,,False,77,2018,2025,77,conjoncture,conjoncture-tabular-v2024,normal,False
primary_balance|flow.primary_production|prod.crude_oil||||||PCI|ktep-pci|ytd_cumulative||incl_gpl_condensat|||,"Bilan d'énergie primaire — [flow=primary_production, product=crude_oil, scope=incl_gpl_condensat] basis PCI (ktep-pci) year-to-date",leaf,"Bilan d'énergie primaire. Bilan d'énergie primaire — [flow=primary_production, product=crude_oil, scope=incl_gpl_condensat] basis PCI (ktep-pci) year-to-date. Source families: conjoncture; period_type=ytd_cumulative; years 2010–2026. Aggregation role: leaf.",ktep-pci,PCI,stated,ytd_cumulative,flow.primary_production,prod.crude_oil,,,,,,,incl_gpl_condensat,,,False,231,2010,2026,77,conjoncture,conjoncture-tabular-v2024,normal,False
primary_balance|flow.primary_production|prod.electricity||||||PCI|ktep-pci|annual||re_sourced|||,"Bilan d'énergie primaire — [flow=primary_production, product=electricity, scope=re_sourced] basis PCI (ktep-pci) annual",leaf,"Bilan d'énergie primaire. Bilan d'énergie primaire — [flow=primary_production, product=electricity, scope=re_sourced] basis PCI (ktep-pci) annual. Source families: conjoncture; period_type=annual; years 2018–2025. Aggregation role: leaf.",ktep-pci,PCI,stated,annual,flow.primary_production,prod.electricity,,,,,,,re_sourced,,,False,76,2018,2025,76,conjoncture,conjoncture-tabular-v2024,normal,False
primary_balance|flow.primary_production|prod.electricity||||||PCI|ktep-pci|ytd_cumulative||re_sourced|||,"Bilan d'énergie primaire — [flow=primary_production, product=electricity, scope=re_sourced] basis PCI (ktep-pci) year-to-date",leaf,"Bilan d'énergie primaire. Bilan d'énergie primaire — [flow=primary_production, product=electricity, scope=re_sourced] basis PCI (ktep-pci) year-to-date. Source families: conjoncture; period_type=ytd_cumulative; years 2010–2026. Aggregation role: leaf.",ktep-pci,PCI,stated,ytd_cumulative,flow.primary_production,prod.electricity,,,,,,,re_sourced,,,False,228,2010,2026,76,conjoncture,conjoncture-tabular-v2024,normal,False
primary_balance|flow.primary_production|prod.lpg||||||PCI|ktep-pci|annual||gpl_primaire|||,"Bilan d'énergie primaire — [flow=primary_production, product=lpg, scope=gpl_primaire] basis PCI (ktep-pci) annual",leaf,"Bilan d'énergie primaire. Bilan d'énergie primaire — [flow=primary_production, product=lpg, scope=gpl_primaire] basis PCI (ktep-pci) annual. Source families: conjoncture; period_type=annual; years 2018–2025. Aggregation role: leaf.",ktep-pci,PCI,stated,annual,flow.primary_production,prod.lpg,,,,,,,gpl_primaire,,,False,77,2018,2025,77,conjoncture,conjoncture-tabular-v2024,normal,False
primary_balance|flow.primary_production|prod.lpg||||||PCI|ktep-pci|ytd_cumulative||gpl_primaire|||,"Bilan d'énergie primaire — [flow=primary_production, product=lpg, scope=gpl_primaire] basis PCI (ktep-pci) year-to-date",leaf,"Bilan d'énergie primaire. Bilan d'énergie primaire — [flow=primary_production, product=lpg, scope=gpl_primaire] basis PCI (ktep-pci) year-to-date. Source families: conjoncture; period_type=ytd_cumulative; years 2010–2026. Aggregation role: leaf.",ktep-pci,PCI,stated,ytd_cumulative,flow.primary_production,prod.lpg,,,,,,,gpl_primaire,,,False,231,2010,2026,77,conjoncture,conjoncture-tabular-v2024,normal,False
primary_balance|flow.resources|prod.natural_gas||||||PCI|ktep-pci|annual|||||,"Bilan d'énergie primaire — [flow=resources, product=natural_gas] basis PCI (ktep-pci) annual",grand_total,"Bilan d'énergie primaire. Bilan d'énergie primaire — [flow=resources, product=natural_gas] basis PCI (ktep-pci) annual. Source families: conjoncture; period_type=annual; years 2018–2025. Aggregation role: grand_total.",ktep-pci,PCI,stated,annual,flow.resources,prod.natural_gas,,,,,,,,,,True,77,2018,2025,77,conjoncture,conjoncture-tabular-v2024,normal,False
primary_balance|flow.resources|prod.natural_gas||||||PCI|ktep-pci|ytd_cumulative|||||,"Bilan d'énergie primaire — [flow=resources, product=natural_gas] basis PCI (ktep-pci) year-to-date",grand_total,"Bilan d'énergie primaire. Bilan d'énergie primaire — [flow=resources, product=natural_gas] basis PCI (ktep-pci) year-to-date. Source families: conjoncture; period_type=ytd_cumulative; years 2010–2026. Aggregation role: grand_total.",ktep-pci,PCI,stated,ytd_cumulative,flow.resources,prod.natural_gas,,,,,,,,,,True,231,2010,2026,77,conjoncture,conjoncture-tabular-v2024,normal,False
primary_balance|flow.resources|||||||PCI|ktep-pci|annual|||||,Bilan d'énergie primaire — [flow=resources] basis PCI (ktep-pci) annual,grand_total,Bilan d'énergie primaire. Bilan d'énergie primaire — [flow=resources] basis PCI (ktep-pci) annual. Source families: conjoncture; period_type=annual; years 2018–2025. Aggregation role: grand_total.,ktep-pci,PCI,stated,annual,flow.resources,,,,,,,,,,,True,77,2018,2025,77,conjoncture,conjoncture-tabular-v2024,normal,False
primary_balance|flow.resources|||||||PCI|ktep-pci|ytd_cumulative|||||,Bilan d'énergie primaire — [flow=resources] basis PCI (ktep-pci) year-to-date,grand_total,Bilan d'énergie primaire. Bilan d'énergie primaire — [flow=resources] basis PCI (ktep-pci) year-to-date. Source families: conjoncture; period_type=ytd_cumulative; years 2010–2026. Aggregation role: grand_total.,ktep-pci,PCI,stated,ytd_cumulative,flow.resources,,,,,,,,,,,True,231,2010,2026,77,conjoncture,conjoncture-tabular-v2024,normal,False
energy_balance|flow.available_final|prod.all_products||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=all_products] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=all_products] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.all_products,,,,,,,,,,True,13,2010,2024,13,bilan,bilan-matrix-v2010/bilan-matrix-v2024,low,False
energy_balance|flow.available_final|prod.biomass||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=biomass] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=biomass] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.biomass,,,,,,,,,,True,12,2010,2024,12,bilan,bilan-matrix-v2024/bilan-matrix-v2015/bilan-matrix-v2010,low,False
energy_balance|flow.available_final|prod.crude_oil||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=crude_oil] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=crude_oil] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.crude_oil,,,,,,,,,,True,13,2010,2024,13,bilan,bilan-matrix-v2010/bilan-matrix-v2024/bilan-matrix-v2015,low,False
energy_balance|flow.available_final|prod.electricity||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=electricity] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=electricity] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.electricity,,,,,,,,,,True,14,2010,2024,14,bilan,bilan-matrix-v2015/bilan-matrix-v2024/bilan-matrix-v2010,low,False
energy_balance|flow.available_final|prod.fuel_oil||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=fuel_oil] (ktep) annual",subtotal,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=fuel_oil] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: subtotal.",ktep,NA,na,annual,flow.available_final,prod.fuel_oil,,,,,,,,,,True,14,2010,2024,14,bilan,bilan-matrix-v2010/bilan-matrix-v2015/bilan-matrix-v2024,low,False
energy_balance|flow.available_final|prod.gasoil||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=gasoil] (ktep) annual",subtotal,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=gasoil] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: subtotal.",ktep,NA,na,annual,flow.available_final,prod.gasoil,,,,,,,,,,True,14,2010,2024,14,bilan,bilan-matrix-v2024/bilan-matrix-v2010/bilan-matrix-v2015,low,False
energy_balance|flow.available_final|prod.gasoline||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=gasoline] (ktep) annual",subtotal,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=gasoline] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: subtotal.",ktep,NA,na,annual,flow.available_final,prod.gasoline,,,,,,,,,,True,14,2010,2024,14,bilan,bilan-matrix-v2010/bilan-matrix-v2024/bilan-matrix-v2015,low,False
energy_balance|flow.available_final|prod.jet||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=jet] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=jet] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.jet,,,,,,,,,,True,14,2010,2024,14,bilan,bilan-matrix-v2024/bilan-matrix-v2015/bilan-matrix-v2010,low,False
energy_balance|flow.available_final|prod.kerosene||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=kerosene] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=kerosene] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.kerosene,,,,,,,,,,True,14,2010,2024,14,bilan,bilan-matrix-v2024/bilan-matrix-v2010/bilan-matrix-v2015,low,False
energy_balance|flow.available_final|prod.lgn||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=lgn] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=lgn] (ktep) annual. Source families: bilan; period_type=annual; years 2016–2024. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.lgn,,,,,,,,,,True,8,2016,2024,8,bilan,bilan-matrix-v2024,low,False
energy_balance|flow.available_final|prod.lpg||||||NA|ktep|annual||gpl_primaire|||,"Bilan énergétique (matrice) — [flow=available_final, product=lpg, scope=gpl_primaire] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=lpg, scope=gpl_primaire] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2014. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.lpg,,,,,,,gpl_primaire,,,True,5,2010,2014,5,bilan,bilan-matrix-v2010,low,False
energy_balance|flow.available_final|prod.lpg||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=lpg] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=lpg] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.lpg,,,,,,,,,,True,11,2010,2024,11,bilan,bilan-matrix-v2010/bilan-matrix-v2015/bilan-matrix-v2024,low,False
energy_balance|flow.available_final|prod.naphtha||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=naphtha] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=naphtha] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.naphtha,,,,,,,,,,True,14,2010,2024,14,bilan,bilan-matrix-v2024/bilan-matrix-v2015/bilan-matrix-v2010,low,False
energy_balance|flow.available_final|prod.natural_gas||||||PCS|ktep|annual||primary_broad|||,"Bilan énergétique (matrice) — [flow=available_final, product=natural_gas, scope=primary_broad] basis PCS (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=natural_gas, scope=primary_broad] basis PCS (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: grand_total.",ktep,PCS,inferred,annual,flow.available_final,prod.natural_gas,,,,,,,primary_broad,,,True,14,2010,2024,14,bilan,bilan-matrix-v2024/bilan-matrix-v2010/bilan-matrix-v2015,low,True
energy_balance|flow.available_final|prod.other_pet_products||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=other_pet_products] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=other_pet_products] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.other_pet_products,,,,,,,,,,True,13,2010,2024,13,bilan,bilan-matrix-v2015/bilan-matrix-v2024/bilan-matrix-v2010,low,False
energy_balance|flow.available_final|prod.petcoke||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=petcoke] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=petcoke] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.petcoke,,,,,,,,,,True,14,2010,2024,14,bilan,bilan-matrix-v2024/bilan-matrix-v2015/bilan-matrix-v2010,low,False
energy_balance|flow.available_final|prod.petroleum_products_total||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=petroleum_products_total] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=petroleum_products_total] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.petroleum_products_total,,,,,,,,,,True,14,2010,2024,14,bilan,bilan-matrix-v2010/bilan-matrix-v2024/bilan-matrix-v2015,low,False
energy_balance|flow.available_final|prod.re_total||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=re_total] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=re_total] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.re_total,,,,,,,,,,True,13,2010,2024,13,bilan,bilan-matrix-v2015/bilan-matrix-v2024/bilan-matrix-v2010,low,False
energy_balance|flow.available_final|prod.refinery_gas||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=refinery_gas] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=refinery_gas] (ktep) annual. Source families: bilan; period_type=annual; years 2011–2015. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.refinery_gas,,,,,,,,,,True,5,2011,2015,5,bilan,bilan-matrix-v2010/bilan-matrix-v2015,low,False
energy_balance|flow.available_final|prod.solar_pv||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=solar_pv] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=solar_pv] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.solar_pv,,,,,,,,,,True,14,2010,2024,14,bilan,bilan-matrix-v2024/bilan-matrix-v2010/bilan-matrix-v2015,low,False
energy_balance|flow.available_final|prod.solar_thermal||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=solar_thermal] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=solar_thermal] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.solar_thermal,,,,,,,,,,True,14,2010,2024,14,bilan,bilan-matrix-v2010/bilan-matrix-v2015/bilan-matrix-v2024,low,False
energy_balance|flow.available_final|prod.wind||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=available_final, product=wind] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=available_final, product=wind] (ktep) annual. Source families: bilan; period_type=annual; years 2011–2012. Aggregation role: grand_total.",ktep,NA,na,annual,flow.available_final,prod.wind,,,,,,,,,,True,2,2011,2012,2,bilan,bilan-matrix-v2010,low,False
energy_balance|flow.bunkers|prod.all_products||||||NA|ktep|annual|||||,"Bilan énergétique (matrice) — [flow=bunkers, product=all_products] (ktep) annual",grand_total,"Bilan énergétique (matrice). Bilan énergétique (matrice) — [flow=bunkers, product=all_products] (ktep) annual. Source families: bilan; period_type=annual; years 2010–2024. Aggregation role: grand_total.",ktep,NA,na,annual,flow.bunkers,prod.all_products,,,,,,,,,,True,12,2010,2024,12,bilan,bilan-matrix-v2024/bilan-matrix-v2010,low,False
